,Disaster Type,Country,ISO,counts
549,Flood,Burkina Faso,BFA,23
550,Flood,Burundi,BDI,29
551,Flood,Cabo Verde,CPV,1
552,Flood,Cambodia,KHM,21
553,Flood,Cameroon,CMR,17
554,Flood,Canada,CAN,44
555,Flood,Canary Is,SPI,2
556,Flood,Central African Republic,CAF,17
557,Flood,Chad,TCD,20
558,Flood,Chile,CHL,35
559,Flood,China,CHN,307
560,Flood,Colombia,COL,89
561,Flood,Comoros (the),COM,2
562,Flood,Congo (the Democratic Republic of the),COD,35
563,Flood,Congo (the),COG,13
564,Flood,Costa Rica,CRI,29
565,Flood,Croatia,HRV,12
566,Flood,Cuba,CUB,24
567,Flood,Czech Republic (the),CZE,13
568,Flood,Czechoslovakia,CSK,1
569,Flood,Côte d’Ivoire,CIV,14
570,Flood,Djibouti,DJI,9
571,Flood,Dominican Republic (the),DOM,29
572,Flood,Ecuador,ECU,34
573,Flood,Egypt,EGY,13
574,Flood,El Salvador,SLV,17
575,Flood,Eritrea,ERI,2
576,Flood,Ethiopia,ETH,57
577,Flood,Fiji,FJI,12
578,Flood,Finland,FIN,1
579,Flood,France,FRA,54
580,Flood,French Guiana,GUF,2
581,Flood,French Polynesia,PYF,1
582,Flood,Gabon,GAB,2
583,Flood,Gambia (the),GMB,9
584,Flood,Georgia,GEO,17
585,Flood,Germany,DEU,17
586,Flood,Germany Fed Rep,DFR,7
587,Flood,Ghana,GHA,25
588,Flood,Greece,GRC,28
589,Flood,Grenada,GRD,1
590,Flood,Guadeloupe,GLP,1
591,Flood,Guatemala,GTM,33
592,Flood,Guinea,GIN,14
593,Flood,Guinea-Bissau,GNB,4
594,Flood,Guyana,GUY,8
595,Flood,Haiti,HTI,61
596,Flood,Honduras,HND,38
597,Flood,Hong Kong,HKG,25
598,Flood,Hungary,HUN,16
599,Flood,Iceland,ISL,1
600,Flood,India,IND,306
601,Flood,Indonesia,IDN,235
602,Flood,Iran (Islamic Republic of),IRN,91
603,Flood,Iraq,IRQ,15
604,Flood,Ireland,IRL,6
605,Flood,Israel,ISR,5
606,Flood,Italy,ITA,52
607,Flood,Jamaica,JAM,13
608,Flood,Japan,JPN,57
609,Flood,Jordan,JOR,8
610,Flood,Kazakhstan,KAZ,14
611,Flood,Kenya,KEN,57
612,Flood,Kiribati,KIR,2
613,Flood,Korea (the Democratic People's Republic of),PRK,28
614,Flood,Korea (the Republic of),KOR,39
615,Flood,Kuwait,KWT,2
616,Flood,Kyrgyzstan,KGZ,4
617,Flood,Lao People's Democratic Republic (the),LAO,28
618,Flood,Lebanon,LBN,3
619,Flood,Lesotho,LSO,5
